StudentID, TotalNumberOfSemestersRegistered, Semester, NumCoursesTakenInTheSemester
0089,10,2,5
0089,10,3,5
0089,10,4,5
0089,10,5,5
0089,10,6,1
0089,10,7,4
0089,10,8,3
0089,10,9,2
0089,10,10,1
0090,10,1,5
0090,10,2,5
0090,10,3,4
0090,10,4,1
0090,10,5,3
0090,10,6,4
0090,10,7,4
0090,10,8,3
0090,10,9,1
0090,10,10,2
0091,9,1,5
0091,9,2,4
0091,9,3,1
0091,9,4,4
0091,9,5,4
0091,9,6,4
0091,9,7,4
0091,9,8,4
0091,9,9,2
0092,12,1,4
0092,12,2,5
0092,12,3,5
0092,12,4,4
0092,12,5,4
0092,12,6,4
0092,12,7,1
0092,12,8,1
0092,12,9,3
0092,12,10,5
0092,12,11,1
0092,12,12,1
0093,10,1,4
0093,10,2,4
0093,10,3,4
0093,10,4,4
0093,10,5,4
0093,10,6,4
0093,10,7,4
0093,10,8,3
0093,10,9,1
0093,10,10,1
0094,10,1,5
0094,10,2,6
0094,10,3,5
0094,10,4,5
0094,10,5,4
0094,10,6,1
0094,10,7,4
0094,10,8,3
0094,10,9,4
0094,10,10,1
0095,10,1,4
0095,10,2,4
0095,10,3,5
0095,10,4,4
0095,10,5,5
0095,10,6,4
0095,10,7,1
0095,10,8,3
0095,10,9,4
0095,10,10,1
0096,10,1,5
0096,10,2,5
0096,10,3,4
0096,10,4,4
0096,10,5,4
0096,10,6,1
0096,10,7,4
0096,10,8,4
0096,10,9,3
0096,10,10,1
0097,8,1,5
0097,8,2,4
0097,8,3,4
0097,8,4,5
0097,8,5,4
0097,8,6,4
0097,8,7,4
0097,8,8,3
0098,9,1,5
0098,9,2,5
0098,9,3,4
0098,9,4,5
0098,9,5,4
0098,9,6,4
0098,9,7,4
0098,9,8,3
0098,9,9,1
0099,10,1,5
0099,10,2,4
0099,10,3,5
0099,10,4,4
0099,10,5,4
0099,10,6,4
0099,10,7,1
0099,10,8,1
0099,10,9,3
0099,10,10,2
0100,10,1,4
0100,10,2,5
0100,10,3,4
0100,10,4,4
0100,10,5,1
0100,10,6,4
0100,10,7,4
0100,10,8,1
0100,10,9,4
0100,10,10,3
0101,14,1,5
0101,14,2,4
0101,14,3,4
0101,14,4,4
0101,14,5,1
0101,14,6,4
0101,14,7,4
0101,14,8,1
0101,14,9,2
0101,14,10,4
0101,14,11,3
0101,14,12,1
0101,14,13,1
0101,14,14,1
0102,11,1,5
0102,11,2,5
0102,11,3,5
0102,11,4,4
0102,11,5,5
0102,11,6,4
0102,11,7,3
0102,11,8,4
0102,11,9,3
0102,11,10,1
0102,11,11,2
0103,12,1,6
0103,12,2,5
0103,12,3,4
0103,12,4,2
0103,12,5,5
0103,12,6,5
0103,12,7,1
0103,12,8,4
0103,12,9,3
0103,12,10,4
0103,12,11,3
0103,12,12,1
0104,10,1,5
0104,10,2,5
0104,10,3,5
0104,10,4,4
0104,10,5,4
0104,10,6,4
0104,10,7,1
0104,10,8,4
0104,10,9,2
0104,10,10,1
0105,7,1,5
0105,7,2,4
0105,7,3,4
0105,7,4,4
0105,7,5,5
0105,7,6,4
0105,7,7,3
0106,9,1,4
0106,9,2,5
0106,9,3,4
0106,9,4,4
0106,9,5,4
0106,9,6,4
0106,9,7,1
0106,9,8,4
0106,9,9,3
0107,9,1,5
0107,9,2,4
0107,9,3,5
0107,9,4,4
0107,9,5,5
0107,9,6,5
0107,9,7,3
0107,9,8,1
0107,9,9,3
0108,10,1,5
0108,10,2,4
0108,10,3,4
0108,10,4,5
0108,10,5,4
0108,10,6,5
0108,10,7,4
0108,10,8,3
0108,10,9,1
0108,10,10,2
0109,9,1,6
0109,9,2,5
0109,9,3,5
0109,9,4,5
0109,9,5,4
0109,9,6,4
0109,9,7,3
0109,9,8,2
0109,9,9,2
0110,6,1,4
0110,6,2,5
0110,6,3,4
0110,6,4,4
0110,6,5,2
0110,6,6,2
0111,10,1,5
0111,10,2,5
0111,10,3,1
0111,10,4,4
0111,10,5,4
0111,10,6,4
0111,10,7,4
0111,10,8,3
0111,10,9,1
0111,10,10,4
0112,9,1,6
0112,9,2,6
0112,9,3,5
0112,9,4,4
0112,9,5,4
0112,9,6,5
0112,9,7,3
0112,9,8,4
0112,9,9,3
0113,8,1,5
0113,8,2,5
0113,8,3,5
0113,8,4,4
0113,8,5,4
0113,8,6,4
0113,8,7,3
0113,8,8,3
0114,11,1,5
0114,11,2,5
0114,11,3,4
0114,11,4,4
0114,11,5,4
0114,11,6,1
0114,11,7,4
0114,11,8,4
0114,11,9,3
0114,11,10,3
0114,11,11,2
0115,9,1,5
0115,9,2,5
0115,9,3,4
0115,9,4,4
0115,9,5,1
0115,9,6,5
0115,9,7,4
0115,9,8,3
0115,9,9,3
0116,12,1,6
0116,12,2,5
0116,12,3,1
0116,12,4,5
0116,12,5,3
0116,12,6,3
0116,12,7,5
0116,12,8,4
0116,12,9,4
0116,12,10,1
0116,12,11,1
0116,12,12,1
0117,8,1,5
0117,8,2,4
0117,8,3,5
0117,8,4,4
0117,8,5,4
0117,8,6,5
0117,8,7,4
0117,8,8,1
0118,10,1,5
0118,10,2,5
0118,10,3,5
0118,10,4,5
0118,10,5,5
0118,10,6,3
0118,10,7,1
0118,10,8,5
0118,10,9,2
0118,10,10,1
0119,14,1,4
0119,14,2,5
0119,14,3,5
0119,14,4,3
0119,14,5,1
0119,14,6,4
0119,14,7,4
0119,14,8,1
0119,14,9,3
0119,14,10,2
0119,14,11,1
0119,14,12,1
0119,14,13,1
0119,14,14,1
0120,8,1,6
0120,8,2,5
0120,8,3,4
0120,8,4,4
0120,8,5,5
0120,8,6,4
0120,8,7,4
0120,8,8,2
0121,12,1,5
0121,12,2,5
0121,12,3,4
0121,12,4,4
0121,12,5,4
0121,12,6,3
0121,12,7,1
0121,12,8,3
0121,12,9,4
0121,12,10,1
0121,12,11,3
0121,12,12,1
0122,11,1,4
0122,11,2,5
0122,11,3,4
0122,11,4,4
0122,11,5,5
0122,11,6,4
0122,11,7,3
0122,11,8,1
0122,11,9,1
0122,11,10,3
0122,11,11,3
0123,10,1,5
0123,10,2,4
0123,10,3,5
0123,10,4,4
0123,10,5,4
0123,10,6,4
0123,10,7,4
0123,10,8,4
0123,10,9,3
0123,10,10,1
0124,10,1,5
0124,10,2,5
0124,10,3,1
0124,10,4,5
0124,10,5,4
0124,10,6,5
0124,10,7,4
0124,10,8,1
0124,10,9,3
0124,10,10,2
0125,11,1,5
0125,11,2,5
0125,11,3,4
0125,11,4,4
0125,11,5,4
0125,11,6,4
0125,11,7,1
0125,11,8,2
0125,11,9,3
0125,11,10,1
0125,11,11,1
0126,12,1,5
0126,12,2,5
0126,12,3,4
0126,12,4,4
0126,12,5,5
0126,12,6,1
0126,12,7,4
0126,12,8,3
0126,12,9,2
0126,12,10,1
0126,12,11,1
0126,12,12,1
0127,12,1,5
0127,12,2,4
0127,12,3,4
0127,12,4,3
0127,12,5,1
0127,12,6,4
0127,12,7,4
0127,12,8,1
0127,12,9,3
0127,12,10,3
0127,12,11,2
0127,12,12,1
0128,11,1,5
0128,11,2,5
0128,11,3,5
0128,11,4,4
0128,11,5,4
0128,11,6,1
0128,11,7,4
0128,11,8,3
0128,11,9,3
0128,11,10,2
0128,11,11,1
0129,9,1,5
0129,9,2,4
0129,9,3,5
0129,9,4,4
0129,9,5,5
0129,9,6,4
0129,9,7,4
0129,9,8,3
0129,9,9,3
0130,11,1,5
0130,11,2,6
0130,11,3,1
0130,11,4,4
0130,11,5,5
0130,11,6,5
0130,11,7,5
0130,11,8,4
0130,11,9,1
0130,11,10,1
0130,11,11,1
0131,10,1,5
0131,10,2,5
0131,10,3,4
0131,10,4,4
0131,10,5,1
0131,10,6,4
0131,10,7,4
0131,10,8,1
0131,10,9,3
0131,10,10,2
0132,10,1,5
0132,10,2,4
0132,10,3,4
0132,10,4,4
0132,10,5,5
0132,10,6,4
0132,10,7,3
0132,10,8,4
0132,10,9,2
0132,10,10,1
0133,10,1,4
0133,10,2,5
0133,10,3,4
0133,10,4,5
0133,10,5,1
0133,10,6,4
0133,10,7,5
0133,10,8,3
0133,10,9,1
0133,10,10,4
0134,10,1,5
0134,10,2,4
0134,10,3,1
0134,10,4,4
0134,10,5,4
0134,10,6,5
0134,10,7,4
0134,10,8,4
0134,10,9,4
0134,10,10,1
0135,10,1,5
0135,10,2,4
0135,10,3,4
0135,10,4,5
0135,10,5,1
0135,10,6,4
0135,10,7,4
0135,10,8,3
0135,10,9,3
0135,10,10,2
0136,9,1,5
0136,9,2,5
0136,9,3,4
0136,9,4,5
0136,9,5,4
0136,9,6,4
0136,9,7,3
0136,9,8,2
0136,9,9,1
0137,10,1,5
0137,10,2,4
0137,10,3,4
0137,10,4,4
0137,10,5,1
0137,10,6,3
0137,10,7,4
0137,10,8,1
0137,10,9,3
0137,10,10,3
0138,13,1,5
0138,13,2,4
0138,13,3,4
0138,13,4,1
0138,13,5,3
0138,13,6,5
0138,13,7,4
0138,13,8,1
0138,13,9,1
0138,13,10,4
0138,13,11,4
0138,13,12,3
0138,13,13,1
0139,12,1,4
0139,12,2,5
0139,12,3,1
0139,12,4,4
0139,12,5,4
0139,12,6,1
0139,12,7,4
0139,12,8,4
0139,12,9,4
0139,12,10,1
0139,12,11,1
0139,12,12,1
0140,10,1,4
0140,10,2,5
0140,10,3,4
0140,10,4,4
0140,10,5,5
0140,10,6,4
0140,10,7,2
0140,10,8,1
0140,10,9,2
0140,10,10,1
0141,8,1,4
0141,8,2,5
0141,8,3,4
0141,8,4,4
0141,8,5,4
0141,8,6,4
0141,8,7,3
0141,8,8,2
0142,10,1,5
0142,10,2,5
0142,10,3,4
0142,10,4,6
0142,10,5,5
0142,10,6,3
0142,10,7,1
0142,10,8,3
0142,10,9,3
0142,10,10,2
0143,12,1,4
0143,12,2,5
0143,12,3,4
0143,12,4,5
0143,12,5,1
0143,12,6,5
0143,12,7,4
0143,12,8,3
0143,12,9,1
0143,12,10,3
0143,12,11,1
0143,12,12,1
0144,8,1,5
0144,8,2,5
0144,8,3,5
0144,8,4,4
0144,8,5,4
0144,8,6,4
0144,8,7,3
0144,8,8,4
0145,10,1,5
0145,10,2,4
0145,10,3,5
0145,10,4,4
0145,10,5,5
0145,10,6,4
0145,10,7,4
0145,10,8,1
0145,10,9,1
0145,10,10,1
0146,9,1,5
0146,9,2,5
0146,9,3,5
0146,9,4,4
0146,9,5,4
0146,9,6,5
0146,9,7,3
0146,9,8,1
0146,9,9,1
0147,9,1,5
0147,9,2,5
0147,9,3,4
0147,9,4,4
0147,9,5,5
0147,9,6,4
0147,9,7,2
0147,9,8,2
0147,9,9,3
0148,10,1,6
0148,10,2,6
0148,10,3,4
0148,10,4,4
0148,10,5,5
0148,10,6,5
0148,10,7,3
0148,10,8,2
0148,10,9,2
0148,10,10,2
0149,9,1,5
0149,9,2,5
0149,9,3,4
0149,9,4,4
0149,9,5,1
0149,9,6,4
0149,9,7,3
0149,9,8,4
0149,9,9,3
0150,10,1,5
0150,10,2,4
0150,10,3,5
0150,10,4,5
0150,10,5,1
0150,10,6,4
0150,10,7,4
0150,10,8,2
0150,10,9,3
0150,10,10,1
0151,9,1,5
0151,9,2,5
0151,9,3,4
0151,9,4,4
0151,9,5,1
0151,9,6,5
0151,9,7,5
0151,9,8,3
